"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","takeScreenShotOnFailure"
"","2451","withoutPassword","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","withoutPassword"
"","4108","finish","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","finish"
"","6110","fromCheckoutCompletePage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","fromCheckoutCompletePage"
"","5505","pageOpeningWithoutProductAdded","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.OverviewTest","SwagLabs","swagLabs.OverviewTest","pageOpeningWithoutProductAdded"
"","2183","pageOpening","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.HomeTest","SwagLabs","swagLabs.HomeTest","pageOpening"
"","4845","numbersAndSignsInPostalCode","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","numbersAndSignsInPostalCode"
"","3389","letterAscending","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.FilterTest","SwagLabs","swagLabs.FilterTest","letterAscending"
"","2933","pageOpeningWithoutProductAdded","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","pageOpeningWithoutProductAdded"
"","1980","invalidUsername","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","invalidUsername"
"","3368","navigateBackAndLogin","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","navigateBackAndLogin"
"","24910","totalPrice","Swag Labs Test Suite","2026-01-21","broken","2026-01-21","swagLabs.OverviewTest","Functional Tests","swagLabs.OverviewTest","totalPrice"
"","2349","backToProducts","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","SwagLabs","swagLabs.ProductDisplayTest","backToProducts"
"","2037","menuBarOpening","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.MenuBarTest","SwagLabs","swagLabs.MenuBarTest","menuBarOpening"
"","1895","backAndForward","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","backAndForward"
"","4571","cancel","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","cancel"
"","13246","removeShoppingCartPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","removeShoppingCartPage"
"","2106","logoutAndForward","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","SwagLabs","swagLabs.LogoutTest","logoutAndForward"
"","5041","finish","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CompleteTest","SwagLabs","swagLabs.CompleteTest","finish"
"","1","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.AddToCartTest","Functional Tests","swagLabs.AddToCartTest","takeScreenShotOnFailure"
"","3630","productsPrice$1","Default Suite","2023-11-18","passed","2023-11-18","swagLabs.ProductDisplayTest","Swag Labs","swagLabs.ProductDisplayTest","productsPrice$1"
"","2504","withoutUsername","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","Functional Tests","swagLabs.LoginTest","withoutUsername"
"","5091","fillingReqFields","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","fillingReqFields"
"","3609","numbersAndLettersInPostalCode","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","numbersAndLettersInPostalCode"
"","3476","numbersAndLettersInPostalCode","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","numbersAndLettersInPostalCode"
"","3399","yourCartBtn","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.YourCartTest","SwagLabs","swagLabs.YourCartTest","yourCartBtn"
"","2513","backToProducts","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","Functional Tests","swagLabs.ProductDisplayTest","backToProducts"
"","24275","closeErrorIssue","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","closeErrorIssue"
"","0","takeScreenShotOnFailure","Default Suite","2025-12-12","broken","2025-12-12","swagLabs.AddToCartTest","SwagLabs","swagLabs.AddToCartTest","takeScreenShotOnFailure"
"","3508","logoutAndForward","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.LogoutTest","Functional Tests","swagLabs.LogoutTest","logoutAndForward"
"","2041","invalidPassword","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","invalidPassword"
"","23983","emptySpace","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","emptySpace"
"","2533","menuBarClosureFromProductPage","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.AllItemTest","SwagLabs","swagLabs.AllItemTest","menuBarClosureFromProductPage"
"","8714","twitter","Default Suite","2026-01-21","failed","2026-01-21","swagLabs.FooterTest","SwagLabs","swagLabs.FooterTest","twitter"
"","4725","withKeyboardKeys","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","SwagLabs","swagLabs.CheckoutTest","withKeyboardKeys"
"","2307","withoutCredentials","Default Suite","2026-01-21","passed","2026-01-21","swagLabs.LoginTest","SwagLabs","swagLabs.LoginTest","withoutCredentials"
"","2053","productsImage","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.ProductDisplayTest","Functional Tests","swagLabs.ProductDisplayTest","productsImage"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-12-12","broken","2025-12-12","swagLabs.HomeTest","Functional Tests","swagLabs.HomeTest","takeScreenShotOnFailure"
"","2827","productsPrice","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.ProductDisplayTest","Functional Tests","swagLabs.ProductDisplayTest","productsPrice"
"","8583","facebook","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.FooterTest","Functional Tests","swagLabs.FooterTest","facebook"
"","1948","productsPrice$2","Default Suite","2023-11-18","passed","2023-11-18","swagLabs.ProductDisplayTest","Swag Labs","swagLabs.ProductDisplayTest","productsPrice$2"
"","2705","menuBarOpening","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.MenuBarTest","Functional Tests","swagLabs.MenuBarTest","menuBarOpening"
"","6364","withKeyboardKeys","Swag Labs Test Suite","2026-01-21","passed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","withKeyboardKeys"
"","0","takeScreenShotOnFailure","Swag Labs Test Suite","2025-05-22","broken","2025-05-22","swagLabs.FilterTest","Functional Tests","swagLabs.FilterTest","takeScreenShotOnFailure"
"","5967","withoutPostalCode","Swag Labs Test Suite","2026-01-21","failed","2026-01-21","swagLabs.CheckoutTest","Functional Tests","swagLabs.CheckoutTest","withoutPostalCode"
